company,headquarters,served_countries,number_of_locations,number_of_employees,number_of_locations_num,number_of_employees_num,countries_count,company_id
Co-Op,United Kingdom,,7000,65000,7000.0,65000.0,,163
Save-Mart,United States,,293,23000,293.0,23000.0,,164
Super De Boer,Netherlands,,0,,0.0,,,165
Kmart,United States,,8,,8.0,,,166
Carrs-Safeway,United States,,24,,24.0,,,167
Genuardi'S,United States,,39,"7,000+",39.0,7.0,,168
Pavilions,United States,,26,,26.0,,,169
Randalls,United States,,32,16000,32.0,16000.0,,170
Tom Thumb,United States,,64,"2,000+",64.0,2.0,,171
Farmer Jack,United States,,100,7200,100.0,7200.0,,172
Meijer,United States,,467,70000,467.0,70000.0,,173
Spartan Stores,United States,,,17500,,17500.0,,174
Iceland,United Kingdom,"Ireland, Czech Republic, Spain, Portugal, Malta, Norway","1,000+","28,853 and 18,315 (FTE)",1.0,2885318315.0,6,175
Foodland,United States,,3938,,3938.0,,,176
Foodland,Australia,,96,"7,000+",96.0,7.0,,177
Romeo'S Retail Group,Australia,,39,,39.0,,,178
Foodland Hawaii,United States,,32,,32.0,,,179
Foodland Ontario,Canada,,,,,,,180
Foodland (Thailand),Thailand,,22,,22.0,,,181
Loblaws,Canada,,,,,,,182
Loeb,Canada,,,,,,,183
Stater Bros.,United States,,171,18000,171.0,18000.0,,184
Bashas',United States,,118,9085,118.0,9085.0,,185
Qfc,United States,,62,5900,62.0,5900.0,,186
Raley'S Supermarkets,United States,,129,23000,129.0,23000.0,,187
Wild Oats Markets,United States,,,,,,,188
Coles,Australia,,846,"120,000+",846.0,120.0,,189
Kmart Australia,Australia,,325,40000,325.0,40000.0,,190
Big W,Australia,,177,"18,000+",177.0,18.0,,191
Myer,Australia,,57,"14,000+",57.0,14.0,,192
Big Fresh,New Zealand,,11,,11.0,,,193
Franklins,Australia,,287,,287.0,,,194
Countdown,New Zealand,,190,"18,000+",190.0,18.0,,195
Foodtown,New Zealand,,0,,0.0,,,196
New World,New Zealand,,140,,140.0,,,197
Pak'Nsave,New Zealand,,57,,57.0,,,198
Woolworths (New Zealand Supermarket Chain),New Zealand,,28,,28.0,,,199
C1000,Netherlands,,500,,500.0,,,200
Jumbo,Netherlands,,740,,740.0,,,201
Jumbo Chile,Chile,"Argentina, Colombia",,25769,,25769.0,2,202
Weingarten'S,United States,,70,,70.0,,,203
Gima,Romania,,,,,,,204
Mega Image,Romania,,806,9741,806.0,9741.0,,205
Amigo Supermarkets,Puerto Rico,,,,,,,206
Zellers,Canada,,350 (86 within Hudson's Bay (2023)),,350862023.0,,,207
Zehrs,Canada,,43,,43.0,,,208
